2019,2016,2013,2010,2007,2004,2001,1998,1995,1992,1989
11742000,1735750.211,42499.18676,68809.72266,246832.7653,120316.8699,6860.103132,893269.114,807364.5254,-732.9598109,-11456.37033
11742000,1735750.211,41291.19954,77175.28825,304084.7339,120303.313,5704.717342,893269.114,807364.5254,-732.9598109,10660.78906
845000,560555.8509,27821483.13,4359.5201,79619.4907,4609.322338,161754.0107,24066568.3,9899.041943,0,-338.122041
848300,556301.5612,40845781.7,4359.5201,79496.04963,4609.322338,163053.8197,24070516.01,9899.041943,0,-477.3487638
841600,558641.4205,27580983.85,4241.695232,79619.4907,4609.322338,161609.5875,23743107.21,9899.041943,0,-497.2382956
848600,558428.7061,27798421.55,4359.5201,79496.04963,4609.322338,161754.0107,23733922.08,9899.041943,0,-198.8953183
840000,571297.9325,27612830.79,4241.695232,79619.4907,4609.322338,163053.8197,23849538.27,9899.041943,0,-139.2267228
2065500,9436014.627,11603705.61,31122260.52,326736.1704,769377.2392,5963957.028,2464806.219,38880699.07,157800.8842,4176.801683
1764000,10043314.49,20534574.76,31122260.52,115621.079,770732.9222,5963812.605,2464806.219,42699592.54,191713.6832,4176.801683
2254900,4507207.257,10783701.92,31122260.52,92445.01796,769512.8075,5965401.261,2464806.219,104046559.6,195539.3759,4176.801683
1584900,3713994.937,11625339.56,31121082.27,157492.2902,770732.9222,5964823.568,2463076.144,39251420.7,170886.8984,4176.801683
1591900,5056010.633,28440521.67,31122260.52,323187.2396,770868.4905,5962368.373,2464806.219,47511728.83,223820.8984,4176.801683
237600,-1743.195218,55677.22916,134909.4734,9875.285668,20389.47293,29751.18411,-63540.93178,0,-6435.744681,-3619.894792
236600,-1743.195218,55677.22916,113700.9972,9875.285668,20389.47293,31195.41635,-63540.93178,0,-6221.219858,-3202.214624
237600,-1743.195218,55677.22916,78471.3618,9998.726739,19033.78989,31195.41635,-63540.93178,0,-5774.293144,-2883.982115
234600,-1743.195218,55677.22916,108634.5279,9998.726739,21745.15597,28306.95187,-63540.93178,0,-6042.449173,-2804.423987
237600,-1743.195218,55677.22916,80710.03428,9998.726739,20389.47293,29751.18411,-63698.21131,0,-6757.531915,-934.8079958
2405000,10020234.97,9538047.459,0,136525.8244,67784.15203,37838.88465,423396.5058,505802.649,216710294.3,-596.6859548
2405000,8955024.63,9539804.531,0,135291.4137,67784.15203,37694.46142,353092.5541,505802.649,216903366.7,-556.9068911
2405000,9593636.062,9541781.237,0,131588.1815,67919.72033,36394.65241,353249.8336,505802.649,216712082,-537.0173593
2405000,9220960.281,9539848.458,0,134057.0029,67919.72033,37694.46142,418206.2812,505802.649,217162584.2,-556.9068911
2405000,10552021.18,9539804.531,0,135291.4137,67919.72033,37838.88465,361271.0899,505802.649,216858674,-2625.418201
240160,435426.5542,3718404.299,770221.1592,71720249.69,12789920.51,1824209.74,358487.2421,-6510.331126,2324769.749,2088.400842
240300,434362.9817,3719502.469,861417.6067,70866778.13,9196275.905,1841540.527,669680.5283,-6176.467991,2263808.946,994.4765913
239400,435426.5542,3718404.299,933290.7759,70888133.43,17932161.85,1841540.527,558908.5524,-6760.728477,3109036.747,2187.848501
242500,434362.9817,3719502.469,998683.5774,72584213.75,19534443.64,1841540.527,800364.0932,-6176.467991,3636767.811,4574.59232
240000,434362.9817,3719502.469,864363.2284,72090449.46,5702409.573,1822765.508,546263.2779,-6510.331126,3257237.645,4574.59232
4978800,39294747.12,6808.655243,4402408.352,37896.40875,378914.7655,0,345118.4817,1815531.033,238658.8653,93083.00894
5068700,39294747.12,4722.131862,4401230.103,115911.1655,484522.4744,0,347792.2338,2074675.598,238658.8653,95469.75276
5232800,39294747.12,21084.86785,4401230.103,24071.00882,391115.9129,0,338827.3003,1794731.36,238658.8653,95469.75276
5130700,39294747.12,3733.778681,4402408.352,43327.81587,428939.4697,0,342444.7296,1879240.466,238658.8653,95469.75276
5042800,39294747.12,46342.78246,4402408.352,37155.76233,384201.9294,0,323413.906,2581154.32,238658.8653,93480.79958
708000,30311.81435,10509.48882,-764.6833905,3034798.727,213004.9193,22241.17647,13193551,449880.574,46806277.21,154362.6565
709000,31375.38678,10344.76329,-2178.581801,3034946.856,213004.9193,43182.54393,53757358.36,457392.4945,47005338.37,128685.2709
708000,32438.95921,10454.58031,-882.508258,3127404.218,213140.4876,35961.38274,3978228.536,449663.5629,47049673.5,99447.65913
708000,29248.24191,10300.83648,-882.508258,3127441.25,213004.9193,30906.5699,7092363.311,450181.0508,47172310.19,190939.5055
708000,32438.95921,10366.72669,-2296.406669,3127428.906,213004.9193,20219.25134,4783499.75,450314.596,46956820.01,87653.16675
182551,5059945.851,277013.4331,364785.79,166151.6814,168199.5948,50259.2819,77696.08985,8082659.559,6435.744681,109292.9774
193951,5027400.535,276892.6343,363725.3662,165040.7117,142346.7193,50259.2819,87132.8619,8072643.665,6435.744681,109292.9774
191951,5550784.529,276892.6343,364785.79,166151.6814,139770.9215,50259.2819,90278.45258,8032580.088,6435.744681,109292.9774
182151,5545998.453,275805.4458,364785.79,165040.7117,139703.1373,50259.2819,79268.88519,8022564.194,6435.744681,109292.9774
181051,5337006.47,275794.4641,363843.191,166275.1224,140841.9111,50259.2819,77696.08985,8022564.194,6435.744681,109292.9774
7870,4094.753868,1190636.131,44125.4129,28836204.47,51666707.49,61018667.65,9110888.852,70612.05298,629505.2151,15712.73014
6370,4094.753868,1191734.302,20289.44219,28709060.17,55438217.71,50145331.97,8324491.181,70612.05298,307503.4563,15712.73014
3570,3988.396625,1191624.485,37503.65534,28706467.91,51954519,124754225,7459296.464,70612.05298,305912.3972,15712.73014
4770,4094.753868,1190636.131,20796.08912,28774607.38,51669147.72,361648750.6,7459453.744,70612.05298,546019.305,15712.73014
5670,4094.753868,1190636.131,23883.10065,28781890.4,52524448.15,94132024.41,9110888.852,70612.05298,345045.3002,15712.73014
1717200,238240.225,45585.04502,-5879.460891,1430064.806,3267.196128,226022.3453,311319.1098,483767.6821,54407964.3,0
1656000,263872.3207,45579.55417,-5054.686818,1429941.365,3267.196128,225011.3827,593368.4983,484101.5453,98100771.25,0
1769700,241430.9423,45579.55417,-5643.811156,1429941.365,3280.752958,225011.3827,412701.4975,434022.0751,36135615.88,0
1697900,255257.384,45585.04502,-2344.714864,1429941.365,3280.752958,227033.3079,453751.4559,439864.6799,4568717.272,0
1659300,278655.9775,45475.228,-5879.460891,1430064.806,3280.752958,225011.3827,175429.5924,495786.755,6204057.872,0
355750,-733.8649789,9136.776067,-74111.8417,21950784.98,5972949.681,525556.1115,15783158.53,37976.93157,115611.0024,-537.0173593
358750,-553.0576653,6951.417369,-74111.8417,19691813.39,5971377.089,525556.1115,15786194.02,51448.30905,115611.0024,-537.0173593
355250,-701.9578059,6720.801627,-74111.8417,17901917.86,5970319.656,522667.6471,15785832.28,36240.84327,115611.0024,-537.0173593
358050,-659.4149086,7939.770549,-74111.8417,24666488.54,5970482.338,522667.6471,15786288.39,55120.80353,115611.0024,-537.0173593
